cities,zip_codes,regions,code_insee,appartement-loyer-m2,appartement12-loyer-m2,appartement3-loyer-m2,maison-loyer-m2
L'Abergement-Clémenciat,1400.0,Auvergne-Rhône-Alpes,01001,11.9249621230119,11.7778441382011,9.48814474154489,9.64100163022486
L'Abergement-de-Varey,1640.0,Auvergne-Rhône-Alpes,01002,8.45196803750532,11.7040795334636,9.23672479235804,8.78969346034053
Ambérieu-en-Bugey,1500.0,Auvergne-Rhône-Alpes,01004,10.9192691512867,12.6780041257218,9.85719334968755,9.68019306339024
Ambérieux-en-Dombes,1330.0,Auvergne-Rhône-Alpes,01005,10.9297436051649,11.4032680615264,11.3269819336094,12.2740576574691
Ambléon,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Ambronay,1500.0,Auvergne-Rhône-Alpes,01004,10.9192691512867,12.6780041257218,9.85719334968755,9.68019306339024
Ambutrix,1500.0,Auvergne-Rhône-Alpes,01004,10.9192691512867,12.6780041257218,9.85719334968755,9.68019306339024
Andert-et-Condon,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Anglefort,1350.0,Auvergne-Rhône-Alpes,01010,10.6108017521531,15.063633416766,8.78004966166068,12.8251103304116
Apremont,1100.0,Auvergne-Rhône-Alpes,01011,9.40588282543278,9.86186380304433,8.0541014624065,8.11697242469514
Aranc,1110.0,Auvergne-Rhône-Alpes,01012,8.45196803750532,11.0415253032654,7.38090228341714,8.47095869917234
Arandas,1230.0,Auvergne-Rhône-Alpes,01013,8.85736053175496,9.13835339626186,7.38090228341714,8.78969346034053
Arbent,1100.0,Auvergne-Rhône-Alpes,01011,9.40588282543278,9.86186380304433,8.0541014624065,8.11697242469514
Arboys en Bugey,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Arbigny,1190.0,Auvergne-Rhône-Alpes,01016,8.5226287385281,10.3060397301386,7.88841050858892,8.05170608447823
Argis,1230.0,Auvergne-Rhône-Alpes,01013,8.85736053175496,9.13835339626186,7.38090228341714,8.78969346034053
Armix,1510.0,Auvergne-Rhône-Alpes,01019,10.1416809637069,9.13835339626186,8.32212785708331,8.78969346034053
Ars-sur-Formans,1480.0,Auvergne-Rhône-Alpes,01021,10.9297436051649,11.4032680615264,9.9349407183014,12.2740576574691
Artemare,1510.0,Auvergne-Rhône-Alpes,01019,10.1416809637069,9.13835339626186,8.32212785708331,8.78969346034053
Asnières-sur-Saône,1570.0,Auvergne-Rhône-Alpes,01023,9.60777184488622,10.0993925941224,8.90603938223536,8.93328893866615
Attignat,1340.0,Auvergne-Rhône-Alpes,01024,11.2550798116723,11.5602982418187,9.47412871198022,9.10390860961646
Bâgé-Dommartin,1380.0,Auvergne-Rhône-Alpes,01025,9.60777184488622,10.3060397301386,8.90603938223536,9.71384800473278
Bâgé-le-Châtel,1380.0,Auvergne-Rhône-Alpes,01025,9.60777184488622,10.3060397301386,8.90603938223536,9.71384800473278
Balan,1360.0,Auvergne-Rhône-Alpes,01027,13.4905820844424,13.7157650743487,11.3269819336094,10.2771537649053
Baneins,1990.0,Auvergne-Rhône-Alpes,01028,11.9249621230119,11.7778441382011,8.6839311557722,9.64100163022486
Beaupont,1270.0,Auvergne-Rhône-Alpes,01029,8.00506743570884,9.17445643127281,7.13905195725982,8.05170608447823
Beauregard,1480.0,Auvergne-Rhône-Alpes,01021,10.9297436051649,11.4032680615264,9.9349407183014,12.2740576574691
Bellignat,1100.0,Auvergne-Rhône-Alpes,01011,9.40588282543278,9.86186380304433,8.0541014624065,8.11697242469514
Béligneux,1360.0,Auvergne-Rhône-Alpes,01027,13.4905820844424,13.7157650743487,11.3269819336094,10.2771537649053
Bellegarde-sur-Valserine,1200.0,Auvergne-Rhône-Alpes,01033,13.4145813128625,15.2261574305212,12.496916238349,14.3949714580278
Belley,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Belleydoux,1130.0,Auvergne-Rhône-Alpes,01035,9.40588282543278,12.4112178569865,8.16100509169562,8.41808053647781
Belmont-Luthézieu,1260.0,Auvergne-Rhône-Alpes,01036,9.88242324883035,13.9404910409276,8.79232040081519,8.47095869917234
Bénonces,1470.0,Auvergne-Rhône-Alpes,01037,10.6839599096226,10.3944309800536,9.5295713479757,9.57483454047155
Bény,1370.0,Auvergne-Rhône-Alpes,01038,9.43539167787165,10.0502952101635,7.71732877156016,9.10390860961646
Béon,1350.0,Auvergne-Rhône-Alpes,01010,10.6108017521531,15.063633416766,8.78004966166068,12.8251103304116
Béréziat,1340.0,Auvergne-Rhône-Alpes,01024,11.2550798116723,11.5602982418187,9.47412871198022,9.10390860961646
Bettant,1500.0,Auvergne-Rhône-Alpes,01004,10.9192691512867,12.6780041257218,9.85719334968755,9.68019306339024
Bey,1290.0,Auvergne-Rhône-Alpes,01042,9.29385210677606,10.0993925941224,9.48814474154489,9.38993747547827
Beynost,1700.0,Auvergne-Rhône-Alpes,01043,12.5621752336145,14.6547544504375,11.7056248797678,13.6065070207513
Billiat,1200.0,Auvergne-Rhône-Alpes,01033,13.4145813128625,15.2261574305212,12.496916238349,14.3949714580278
Birieux,1330.0,Auvergne-Rhône-Alpes,01005,10.9297436051649,11.4032680615264,11.3269819336094,12.2740576574691
Biziat,1290.0,Auvergne-Rhône-Alpes,01042,9.29385210677606,10.0993925941224,9.48814474154489,9.38993747547827
Blyes,1150.0,Auvergne-Rhône-Alpes,01047,10.656557843731,12.9028596494236,10.8125914714891,10.2771537649053
La Boisse,1120.0,Auvergne-Rhône-Alpes,01049,13.2990444259744,13.7157650743487,11.3269819336094,11.9943161118147
Boissey,1190.0,Auvergne-Rhône-Alpes,01016,8.5226287385281,10.3060397301386,7.88841050858892,8.05170608447823
Boissey,1380.0,Auvergne-Rhône-Alpes,01025,9.60777184488622,10.3060397301386,8.90603938223536,9.71384800473278
Bolozon,1450.0,Auvergne-Rhône-Alpes,01051,8.02251888795582,9.86186380304433,9.08690664458383,8.11697242469514
Bouligneux,1330.0,Auvergne-Rhône-Alpes,01005,10.9297436051649,11.4032680615264,11.3269819336094,12.2740576574691
Bourg-en-Bresse,1000.0,Auvergne-Rhône-Alpes,01053,11.0752155111027,12.5359553012284,10.0695990139082,12.3400451069219
Bourg-Saint-Christophe,1800.0,Auvergne-Rhône-Alpes,01054,11.9249621230119,13.7157650743487,10.8125914714891,10.2771537649053
Boyeux-Saint-Jérôme,1640.0,Auvergne-Rhône-Alpes,01002,8.45196803750532,11.7040795334636,9.23672479235804,8.78969346034053
Boz,1190.0,Auvergne-Rhône-Alpes,01016,8.5226287385281,10.3060397301386,7.88841050858892,8.05170608447823
Brégnier-Cordon,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Brénaz,1260.0,Auvergne-Rhône-Alpes,01036,9.88242324883035,13.9404910409276,8.79232040081519,8.47095869917234
Brénod,1110.0,Auvergne-Rhône-Alpes,01012,8.45196803750532,11.0415253032654,7.38090228341714,8.47095869917234
Brens,1300.0,Auvergne-Rhône-Alpes,01006,10.1416809637069,12.717745902516,9.5295713479757,9.0773484307503
Bressolles,1360.0,Auvergne-Rhône-Alpes,01027,13.4905820844424,13.7157650743487,11.3269819336094,10.2771537649053
Brion,1460.0,Auvergne-Rhône-Alpes,01063,9.40588282543278,9.86186380304433,8.2638573986472,8.11697242469514
Briord,1470.0,Auvergne-Rhône-Alpes,01037,10.6839599096226,10.3944309800536,9.5295713479757,9.57483454047155
Buellas,1310.0,Auvergne-Rhône-Alpes,01065,10.2163747908977,11.5472739304738,9.44021214835822,9.37093791350945
La Burbanche,1510.0,Auvergne-Rhône-Alpes,01019,10.1416809637069,9.13835339626186,8.32212785708331,8.78969346034053
Ceignes,1430.0,Auvergne-Rhône-Alpes,01067,8.02251888795582,9.86186380304433,8.2638573986472,8.11697242469514
Cerdon,1450.0,Auvergne-Rhône-Alpes,01051,8.02251888795582,9.86186380304433,9.08690664458383,8.11697242469514
Certines,1240.0,Auvergne-Rhône-Alpes,01069,9.61187146603055,11.5472739304738,8.66505345197995,9.37093791350945
Cessy,1170.0,Auvergne-Rhône-Alpes,01071,20.2810052088959,23.3694491602439,19.1236793729041,18.1412569448867
Ceyzériat,1250.0,Auvergne-Rhône-Alpes,01072,10.4572951810257,11.5472739304738,10.6556670098154,9.2368194387284
Ceyzérieu,1350.0,Auvergne-Rhône-Alpes,01010,10.6108017521531,15.063633416766,8.78004966166068,12.8251103304116
